100
0 0 16 36
0 0 78 22
0 0 75 98
0 0 60 17
0 0 81 25
0 0 82 54
0 0 20 27
0 0 8 68
0 0 86 16
0 0 77 76
0 0 40 88
0 0 50 9
0 0 57 24
0 0 24 100
0 0 37 21
0 0 81 88
0 0 16 38
0 0 92 7
0 0 11 87
0 0 60 21
0 0 76 44
0 0 56 73
0 0 49 89
0 0 73 92
0 0 6 17
0 0 76 66
0 0 92 98
0 0 28 70
0 0 20 28
0 0 13 73
0 0 58 71
0 0 51 73
0 0 56 90
0 0 86 42
0 0 96 63
0 0 8 98
0 0 75 18
0 0 44 37
0 0 34 92
0 0 100 12
0 0 25 43
0 0 95 25
0 0 8 62
0 0 79 30
0 0 92 27
0 0 94 70
0 0 73 37
0 0 29 55
0 0 52 7
0 0 71 42
0 0 89 46
0 0 60 19
0 0 7 85
0 0 75 7
0 0 74 20
0 0 84 45
0 0 86 54
0 0 23 52
0 0 22 90
0 0 25 59
0 0 11 53
0 0 40 8
0 0 80 30
0 0 91 88
0 0 100 70
0 0 76 81
0 0 43 87
0 0 82 27
0 0 13 98
0 0 50 65
0 0 97 77
0 0 66 32
0 0 85 47
0 0 49 78
0 0 30 62
0 0 63 89
0 0 94 91
0 0 13 52
0 0 44 31
0 0 50 23
0 0 58 68
0 0 99 99
0 0 19 18
0 0 14 67
0 0 86 39
0 0 28 33
0 0 29 45
0 0 28 55
0 0 58 26
0 0 53 22
0 0 52 18
0 0 91 67
0 0 50 85
0 0 58 27
0 0 65 66
0 0 39 99
0 0 31 88
0 0 70 100
0 0 46 14
0 0 30 43
